timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1729319889.3978400,790.14655,782.49084,799.011,790.14655,nan,nan,,,,,,,,,,
1729319889.3995538,,,,,,,,,,,,,nan,263497140.0,nan,
1729319889.4017422,783.2967,789.7436,794.17584,783.2967,nan,nan,,,,,,,,,,
1729319889.4056442,771.6117,796.1905,792.96704,777.6557,nan,nan,,,,,,,,,,
1729319889.4062943,,,,,,,-0.36419678,0.037963867,0.9383545,,,,,,,
1729319889.4095461,772.8205,795.38464,792.5641,783.2967,nan,nan,,,,,,,,,,
1729319889.4134481,781.685,784.90845,788.93774,796.5934,nan,nan,,,,,,,,,,
1729319889.4151640,,,,,,,,,,,,,nan,263560000.0,nan,
1729319889.4173501,784.10254,782.8938,792.1612,796.99634,nan,nan,,,,,,,,,,
1729319889.4203706,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.4212520,777.25275,786.52014,793.36993,788.5348,nan,nan,,,,,,,,,,
1729319889.4248171,,,,,,,-0.3708496,0.040405273,0.9379883,,,,,,,
1729319889.4251542,767.98535,788.1319,792.96704,787.326,nan,nan,,,,,,,,,,
1729319889.4290562,775.64105,788.5348,787.72894,782.8938,nan,nan,,,,,,,,,,
1729319889.4307742,,,,,,,,,,,,,nan,263506000.0,nan,
1729319889.4329581,791.75824,788.1319,790.14655,792.5641,nan,nan,,,,,,,,,,
1729319889.4368601,789.7436,794.17584,794.57874,794.17584,nan,nan,,,,,,,,,,
1729319889.4407620,783.69965,798.60803,790.9524,786.52014,nan,nan,,,,,,,,,,
1729319889.4433398,,,,,,,-0.3734131,0.0413208,0.93395996,,,,,,,
1729319889.4446640,771.6117,792.1612,787.326,778.86444,nan,nan,,,,,,,,,,
1729319889.4463842,,,,,,,,,,,,,nan,263558380.0,nan,
1729319889.4485662,771.2088,794.9817,791.3553,781.685,nan,nan,,,,,,,,,,
1729319889.4524682,787.72894,793.7729,793.36993,795.38464,nan,nan,,,,,,,,,,
1729319889.4553809,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.4563701,792.1612,778.46155,795.38464,798.20514,nan,nan,,,,,,,,,,
1729319889.4602721,793.36993,778.0586,794.57874,801.4286,nan,nan,,,,,,,,,,
1729319889.4618623,,,,,,,-0.3735962,0.038024902,0.92852783,,,,,,,
1729319889.4619944,,,,,,,,,,,,,nan,263537440.0,nan,
1729319889.4641740,775.64105,784.5055,794.17584,798.20514,nan,nan,,,,,,,,,,
1729319889.4680762,772.4176,787.326,799.41394,799.011,nan,nan,,,,,,,,,,
1729319889.4719782,794.17584,786.9231,795.78754,804.65204,nan,nan,,,,,,,,,,
1729319889.4758801,799.41394,791.3553,786.1172,801.8315,nan,nan,,,,,,,,,,
1729319889.4776046,,,,,,,,,,,,,nan,263556780.0,nan,
1729319889.4797821,795.38464,792.5641,787.326,801.4286,nan,nan,,,,,,,,,,
1729319889.4803851,,,,,,,-0.37493896,0.040527344,0.9291992,,,,,,,
1729319889.4836841,779.67035,787.326,789.34064,793.7729,nan,nan,,,,,,,,,,
1729319889.4875860,776.04395,794.17584,791.75824,784.90845,nan,nan,,,,,,,,,,
1729319889.4903913,,,,,,,,,,1581098.9,1583516.5,,,,,
1729319889.4914882,796.99634,801.8315,794.57874,786.9231,nan,nan,,,,,,,,,,
1729319889.4932148,,,,,,,,,,,,,nan,263572900.0,nan,
1729319889.4953902,804.65204,795.78754,794.57874,796.5934,nan,nan,,,,,,,,,,
1729319889.4989078,,,,,,,-0.36975098,0.041137695,0.9279175,,,,,,,
1729319889.4992921,799.41394,792.96704,795.78754,801.4286,nan,nan,,,,,,,,,,
1729319889.5031941,781.685,791.3553,793.36993,791.3553,nan,nan,,,,,,,,,,
1729319889.5070961,770.40295,788.93774,792.1612,782.49084,nan,nan,,,,,,,,,,
1729319889.5088251,,,,,,,,,,,,,nan,263534200.0,nan,
1729319889.5109980,792.96704,794.17584,792.5641,785.7143,nan,nan,,,,,,,,,,
1729319889.5149002,810.293,792.1612,796.5934,793.36993,nan,nan,,,,,,,,,,
1729319889.5174305,,,,,,,-0.36712646,0.04522705,0.93078613,,,,,,,
1729319889.5188022,811.9048,788.5348,796.1905,794.17584,nan,nan,,,,,,,,,,
1729319889.5227041,796.5934,776.4469,791.3553,792.1612,nan,nan,,,,,,,,,,
